ad_link,make_model_link,download_date_time,car_make,id1,car_model,id2,link
https://suchen.mobile.de/fahrzeuge/details.html?id=336732292&damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=17200&makeModelVariant1.modelId=172&pageNumber=1&ref=quickSearch&scopeId=C&sfmr=false&fnai=prev&searchId=f4a1c252-6186-ff98-ef76-fe1b7acab26c,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=17200;172&ref=quickSearch&sfmr=false&vc=Car,20220117_174415,Mercedes-Benz,17200,CLK 350,172,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=17200;172&ref=quickSearch&sfmr=false&vc=Car
https://suchen.mobile.de/fahrzeuge/details.html?id=330601692&damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=17200&makeModelVariant1.modelId=172&pageNumber=1&ref=quickSearch&scopeId=C&sfmr=false&searchId=f4a1c252-6186-ff98-ef76-fe1b7acab26c,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=17200;172&ref=quickSearch&sfmr=false&vc=Car,20220117_174415,Mercedes-Benz,17200,CLK 350,172,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=17200;172&ref=quickSearch&sfmr=false&vc=Car
https://suchen.mobile.de/fahrzeuge/details.html?id=335168173&damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=17200&makeModelVariant1.modelId=172&pageNumber=1&ref=quickSearch&scopeId=C&sfmr=false&searchId=f4a1c252-6186-ff98-ef76-fe1b7acab26c,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=17200;172&ref=quickSearch&sfmr=false&vc=Car,20220117_174415,Mercedes-Benz,17200,CLK 350,172,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=17200;172&ref=quickSearch&sfmr=false&vc=Car
https://suchen.mobile.de/fahrzeuge/details.html?id=337167144&damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=17200&makeModelVariant1.modelId=172&pageNumber=1&ref=quickSearch&scopeId=C&sfmr=false&action=topInCategory&searchId=f4a1c252-6186-ff98-ef76-fe1b7acab26c,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=17200;172&ref=quickSearch&sfmr=false&vc=Car,20220117_174415,Mercedes-Benz,17200,CLK 350,172,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=17200;172&ref=quickSearch&sfmr=false&vc=Car
https://suchen.mobile.de/fahrzeuge/details.html?id=332809107&damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=17200&makeModelVariant1.modelId=172&pageNumber=1&ref=quickSearch&scopeId=C&sfmr=false&action=topInCategory&searchId=f4a1c252-6186-ff98-ef76-fe1b7acab26c,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=17200;172&ref=quickSearch&sfmr=false&vc=Car,20220117_174415,Mercedes-Benz,17200,CLK 350,172,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=17200;172&ref=quickSearch&sfmr=false&vc=Car
https://suchen.mobile.de/fahrzeuge/details.html?id=336680517&damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=17200&makeModelVariant1.modelId=172&pageNumber=1&ref=quickSearch&scopeId=C&sfmr=false&searchId=f4a1c252-6186-ff98-ef76-fe1b7acab26c,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=17200;172&ref=quickSearch&sfmr=false&vc=Car,20220117_174415,Mercedes-Benz,17200,CLK 350,172,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=17200;172&ref=quickSearch&sfmr=false&vc=Car
https://suchen.mobile.de/fahrzeuge/details.html?id=326426204&damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=17200&makeModelVariant1.modelId=172&pageNumber=1&ref=quickSearch&scopeId=C&sfmr=false&searchId=f4a1c252-6186-ff98-ef76-fe1b7acab26c,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=17200;172&ref=quickSearch&sfmr=false&vc=Car,20220117_174415,Mercedes-Benz,17200,CLK 350,172,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=17200;172&ref=quickSearch&sfmr=false&vc=Car
https://suchen.mobile.de/fahrzeuge/details.html?id=334980193&damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=17200&makeModelVariant1.modelId=172&pageNumber=1&ref=quickSearch&scopeId=C&sfmr=false&searchId=f4a1c252-6186-ff98-ef76-fe1b7acab26c,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=17200;172&ref=quickSearch&sfmr=false&vc=Car,20220117_174415,Mercedes-Benz,17200,CLK 350,172,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=17200;172&ref=quickSearch&sfmr=false&vc=Car
https://suchen.mobile.de/fahrzeuge/details.html?id=336860890&damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=17200&makeModelVariant1.modelId=172&pageNumber=1&ref=quickSearch&scopeId=C&sfmr=false&searchId=f4a1c252-6186-ff98-ef76-fe1b7acab26c,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=17200;172&ref=quickSearch&sfmr=false&vc=Car,20220117_174415,Mercedes-Benz,17200,CLK 350,172,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=17200;172&ref=quickSearch&sfmr=false&vc=Car
https://suchen.mobile.de/fahrzeuge/details.html?id=325520288&damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=17200&makeModelVariant1.modelId=172&pageNumber=1&ref=quickSearch&scopeId=C&sfmr=false&searchId=f4a1c252-6186-ff98-ef76-fe1b7acab26c,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=17200;172&ref=quickSearch&sfmr=false&vc=Car,20220117_174415,Mercedes-Benz,17200,CLK 350,172,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=17200;172&ref=quickSearch&sfmr=false&vc=Car
